date,giadieuchinh,close,thaydoi,volumn,gtkhoplenh,klthoathuan,gtthoathuan,giathamchieu,open,max,min,adj
2018-10-09,9.83,11.8,0.00 (0.00 %),0,0,0,0,11.8,11.8,11.8,11.8,9.83
2018-10-10,9.83,11.8,0.00 (0.00 %),0,0,0,0,11.8,11.8,11.8,11.8,9.83
2018-10-11,9.33,11.2,-0.60 (-5.08 %),100,1120000,0,0,11.8,11.2,11.2,11.2,9.33
2018-10-12,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-10-15,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-10-16,10.17,12.2,1.00 (8.93 %),100,1220000,0,0,11.2,12.2,12.2,12.2,10.17
2018-10-17,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-18,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-19,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-22,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-23,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-24,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-25,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-26,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-29,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-30,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-10-31,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-11-01,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-11-02,10.17,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,10.17
2018-11-05,9.33,11.2,-1.00 (-8.20 %),102,1142600,0,0,12.2,11.2,11.2,11.2,9.33
2018-11-06,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-07,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-08,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-09,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-12,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-13,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-14,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-15,9.33,11.2,0.00 (0.00 %),0,0,0,0,11.2,11.2,11.2,11.2,9.33
2018-11-16,8.46,11.2,0.00 (0.00 %),1500,15220000,0,0,11.2,10.5,11.2,10,9.33
2018-11-19,8.58,10.3,0.20 (1.98 %),1500,15450000,0,0,10.1,10.3,10.3,10.3,8.58
2018-11-20,9.21,11.1,0.80 (7.77 %),2000,22100000,0,0,10.3,11,11.1,11,9.25
2018-11-21,9.25,11.1,0.00 (0.00 %),1000,11100000,0,0,11.1,11.1,11.1,11.1,9.25
2018-11-22,9.25,11.1,0.00 (0.00 %),0,0,0,0,11.1,11.1,11.1,11.1,9.25
2018-11-23,9.25,11.1,0.00 (0.00 %),0,0,0,0,11.1,11.1,11.1,11.1,9.25
2018-11-26,9.77,12,0.90 (8.11 %),2500,29300000,0,0,11.1,11.3,12,11.3,10
2018-11-27,9.75,11.7,0.00 (0.00 %),0,0,0,0,11.7,11.7,11.7,11.7,9.75
2018-11-28,9.58,11.5,-0.20 (-1.71 %),100,1150000,0,0,11.7,11.5,11.5,11.5,9.58
2018-11-29,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-11-30,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-12-03,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-12-04,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-12-05,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-12-06,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-12-07,9.37,11.3,-0.20 (-1.74 %),2000,22480000,0,0,11.5,11.2,11.3,11.2,9.42
2018-12-10,9.42,11.3,0.10 (0.89 %),2000,22600000,0,0,11.2,11.3,11.3,11.3,9.42
2018-12-11,9.42,11.3,0.00 (0.00 %),2000,22600000,0,0,11.3,11.3,11.3,11.3,9.42
2018-12-12,9.42,11.3,0.00 (0.00 %),0,0,0,0,11.3,11.3,11.3,11.3,9.42
2018-12-13,9.42,11.3,0.00 (0.00 %),0,0,0,0,11.3,11.3,11.3,11.3,9.42
2018-12-14,9.42,11.3,0.00 (0.00 %),0,0,0,0,11.3,11.3,11.3,11.3,9.42
2018-12-17,9.42,11.3,0.00 (0.00 %),0,0,0,0,11.3,11.3,11.3,11.3,9.42
2018-12-18,9.17,11,-0.30 (-2.65 %),1000,11000000,0,0,11.3,11,11,11,9.17
2018-12-19,9.22,11.1,0.10 (0.91 %),3000,33200000,0,0,11,11,11.1,11,9.25
2018-12-20,9.17,11,-0.10 (-0.90 %),3300,36330000,0,0,11.1,11.1,11.1,11,9.17
2018-12-21,9.17,11,0.00 (0.00 %),5000,55000000,0,0,11,11,11,11,9.17
2018-12-24,9.17,11,0.00 (0.00 %),6000,66000000,0,0,11,11,11,11,9.17
2018-12-25,8.54,10.2,-0.80 (-7.27 %),900,9220000,0,0,11,10.4,10.4,10.2,8.5
2018-12-26,8.5,10.2,0.00 (0.00 %),0,0,0,0,10.2,10.2,10.2,10.2,8.5
2018-12-27,8.5,10.2,0.00 (0.00 %),0,0,0,0,10.2,10.2,10.2,10.2,8.5
2018-12-28,9.17,11,0.80 (7.84 %),3000,33000000,0,0,10.2,11,11,11,9.17
2019-01-02,8.92,10.7,-0.30 (-2.73 %),1000,10700000,0,0,11,10.7,10.7,10.7,8.92
2019-01-03,8.92,10.7,0.00 (0.00 %),0,0,0,0,10.7,10.7,10.7,10.7,8.92
2019-01-04,8.92,10.7,0.00 (0.00 %),0,0,0,0,10.7,10.7,10.7,10.7,8.92
